image,writer
BRN3C2AF4AEB56C_0000000013_0_1.tif,399
BRN3C2AF4AEB56C_0000000013_0_2.tif,399
BRN3C2AF4AEB56C_0000000013_0_3.tif,399
BRN3C2AF4AEB56C_0000000013_0.tif,399
BRN3C2AF4AEB56C_0000000013_1_1.tif,399
BRN3C2AF4AEB56C_0000000013_1_2.tif,399
BRN3C2AF4AEB56C_0000000013_1_3.tif,399
BRN3C2AF4AEB56C_0000000013_1.tif,399
BRN3C2AF4AEB56C_0000000013_10_1.tif,399
BRN3C2AF4AEB56C_0000000013_10_2.tif,399
BRN3C2AF4AEB56C_0000000013_10_3.tif,399
BRN3C2AF4AEB56C_0000000013_10.tif,399
BRN3C2AF4AEB56C_0000000013_11_1.tif,399
BRN3C2AF4AEB56C_0000000013_11_2.tif,399
BRN3C2AF4AEB56C_0000000013_11_3.tif,399
BRN3C2AF4AEB56C_0000000013_11.tif,399
BRN3C2AF4AEB56C_0000000013_12_1.tif,399
BRN3C2AF4AEB56C_0000000013_12_2.tif,399
BRN3C2AF4AEB56C_0000000013_12_3.tif,399
BRN3C2AF4AEB56C_0000000013_12.tif,399
BRN3C2AF4AEB56C_0000000013_13_1.tif,399
BRN3C2AF4AEB56C_0000000013_13_2.tif,399
BRN3C2AF4AEB56C_0000000013_13_3.tif,399
BRN3C2AF4AEB56C_0000000013_13.tif,399
BRN3C2AF4AEB56C_0000000013_14_1.tif,399
BRN3C2AF4AEB56C_0000000013_14_2.tif,399
BRN3C2AF4AEB56C_0000000013_14_3.tif,399
BRN3C2AF4AEB56C_0000000013_14.tif,399
BRN3C2AF4AEB56C_0000000013_2_1.tif,399
BRN3C2AF4AEB56C_0000000013_2_2.tif,399
BRN3C2AF4AEB56C_0000000013_2_3.tif,399
BRN3C2AF4AEB56C_0000000013_2.tif,399
BRN3C2AF4AEB56C_0000000013_3_1.tif,399
BRN3C2AF4AEB56C_0000000013_3_2.tif,399
BRN3C2AF4AEB56C_0000000013_3_3.tif,399
BRN3C2AF4AEB56C_0000000013_3.tif,399
BRN3C2AF4AEB56C_0000000013_4_1.tif,399
BRN3C2AF4AEB56C_0000000013_4_2.tif,399
BRN3C2AF4AEB56C_0000000013_4_3.tif,399
BRN3C2AF4AEB56C_0000000013_4.tif,399
BRN3C2AF4AEB56C_0000000013_5_1.tif,399
BRN3C2AF4AEB56C_0000000013_5_2.tif,399
BRN3C2AF4AEB56C_0000000013_5_3.tif,399
BRN3C2AF4AEB56C_0000000013_5.tif,399
BRN3C2AF4AEB56C_0000000013_6_1.tif,399
BRN3C2AF4AEB56C_0000000013_6_2.tif,399
BRN3C2AF4AEB56C_0000000013_6_3.tif,399
BRN3C2AF4AEB56C_0000000013_6.tif,399
BRN3C2AF4AEB56C_0000000013_7_1.tif,399
BRN3C2AF4AEB56C_0000000013_7_2.tif,399
BRN3C2AF4AEB56C_0000000013_7_3.tif,399
BRN3C2AF4AEB56C_0000000013_7.tif,399
BRN3C2AF4AEB56C_0000000013_8_1.tif,399
BRN3C2AF4AEB56C_0000000013_8_2.tif,399
BRN3C2AF4AEB56C_0000000013_8_3.tif,399
BRN3C2AF4AEB56C_0000000013_8.tif,399
BRN3C2AF4AEB56C_0000000013_9_1.tif,399
BRN3C2AF4AEB56C_0000000013_9_2.tif,399
BRN3C2AF4AEB56C_0000000013_9_3.tif,399
BRN3C2AF4AEB56C_0000000013_9.tif,399
BRN3C2AF4AEB56C_0000000014_0_1.tif,399
BRN3C2AF4AEB56C_0000000014_0_2.tif,399
BRN3C2AF4AEB56C_0000000014_0_3.tif,399
BRN3C2AF4AEB56C_0000000014_0.tif,399
BRN3C2AF4AEB56C_0000000014_1_1.tif,399
BRN3C2AF4AEB56C_0000000014_1_2.tif,399
BRN3C2AF4AEB56C_0000000014_1_3.tif,399
BRN3C2AF4AEB56C_0000000014_1.tif,399
BRN3C2AF4AEB56C_0000000014_10_1.tif,399
BRN3C2AF4AEB56C_0000000014_10_2.tif,399
BRN3C2AF4AEB56C_0000000014_10_3.tif,399
BRN3C2AF4AEB56C_0000000014_10.tif,399
BRN3C2AF4AEB56C_0000000014_11_1.tif,399
BRN3C2AF4AEB56C_0000000014_11_2.tif,399
BRN3C2AF4AEB56C_0000000014_11_3.tif,399
BRN3C2AF4AEB56C_0000000014_11.tif,399
BRN3C2AF4AEB56C_0000000014_12_1.tif,399
BRN3C2AF4AEB56C_0000000014_12_2.tif,399
BRN3C2AF4AEB56C_0000000014_12_3.tif,399
BRN3C2AF4AEB56C_0000000014_12.tif,399
